Country Name,Country Code,Series Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
North America,NAC,"Primary education, pupils",27618786,27822244,27756158,27433346,27085434,26759270,26479168,26324224,26339448,26412064,26572532,26754534,26714646,26627910,26791636,27093808,27342090,27492424,27369106,27198358,26897902,26304576
North America,NAC,"GDP per capita, PPP (constant 2017 international $)",49307.31132,49320.89588,49738.58093,50648.93847,52083.34027,53389.92108,54340.82357,54909.59328,54490.5011,52582.17856,53561.13873,54053.18412,54837.80312,55463.90324,56329.22114,57331.3342,57812.95079,58740.6449,60088.98658,61107.69704,58725.45975,62061.16865
North America,NAC,Individuals using the Internet (% of population),43.88465531,50.16958286,59.05916309,61.94128849,64.87480101,68.32895528,69.27092101,74.82365534,74.26613953,71.91533488,72.53939482,71.04074853,75.52240205,72.82857988,74.40256842,76.08973908,86.10466159,87.81817184,89.11497116,89.6808051,90.79069484,91.86313227
North America,NAC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.275068772,4.982147731,5.974202786,6.155869832,5.70485535,5.256235461,4.814820394,4.782802975,5.833046182,9.165749241,9.473890135,8.807963196,7.996111685,7.344821549,6.262943851,5.462341476,5.106578033,4.586487665,4.112589991,3.89321024,8.227088483,5.594155685
Africa Western and Central,AFW,"Primary education, pupils",35906812,37072416,38849328,40215756,42229688,43821784,45446732,45392364,45481352,47810924,49762224,53312656,55914780,58310760,59074840,60213272,61047148,62918760,64573820,66877088,68800760,70216776
Africa Western and Central,AFW,"GDP per capita, PPP (constant 2017 international $)",2673.409966,2736.054992,2909.803979,2984.554373,3130.106708,3219.470839,3298.758868,3381.24407,3493.268645,3601.140544,3739.313765,3813.424318,3903.405917,4027.814199,4148.495951,4152.506646,4060.345071,4054.572453,4068.321122,4096.827363,3960.847898,4016.874461
Africa Western and Central,AFW,Individuals using the Internet (% of population),0.139444899,0.210153124,0.412121735,0.657937929,1.176318257,2.322415814,3.458340893,4.233398858,4.98553995,5.803736218,7.242530152,8.664935956,10.2936545,12.5777558,14.92344071,18.10948504,22.86974961,27.08121938,32.08933702,35.27644793,41.74981907,46.99049731
Africa Western and Central,AFW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.767678866,4.692619302,4.470716103,4.372864352,4.306412643,4.335384372,4.218898665,4.195954767,4.211853979,4.252491146,4.225754623,4.201854899,4.159264285,3.816216105,3.932125352,4.197575565,4.164129809,4.238482072,4.266694974,4.277482762,4.737500864,4.585014202
Europe & Central Asia,ECS,"Primary education, pupils",54866680,53841032,52940304,51834276,52393300,51106252,50184936,49587192,49176128,48670524,48598184,48744312,48895712,48876204,49165040,49739156,50543704,51371676,52262680,52832492,52034288,52226788
Europe & Central Asia,ECS,"GDP per capita, PPP (constant 2017 international $)",25399.19819,25987.36846,26476.58556,27054.83896,28025.31305,28839.5914,30048.76076,31242.21956,31604.63127,29983.06183,30728.21071,31520.58712,31624.10483,31838.49163,32258.84839,32689.854,33155.62598,34060.48653,34756.43749,35332.41075,33528.63708,35683.45155
